Motor_Current_A,Oil_Temperature_C,Line_Pressure_bar,Filter_DeltaP_bar,Running_Hours,Vibration_RMS_mm_s,Status,Label,Reason
27.43,69.45,3.19,0.208,2032.5,4.31,Warning,1,Service interval warning (2000-3000 hrs)
45.57,90.57,2.86,0.293,1147.4,1.88,Warning,1,Oil temperature in warning range (90-105°C)
27.04,60.15,3.06,0,532.1,5.72,Warning,1,Vibration in warning range (4-7 mm/s)
60.82,103.43,2.7,0.351,4722,5.77,Critical,2,Service critical (>3000 hrs) - Service required
49.94,70.23,2.38,0.099,1429.5,2.85,Warning,1,Line pressure low warning (2.4-2.8 bar)
42.29,82,3.03,0.086,1196.2,3.73,Normal,0,None
26.12,83.77,2.45,0.188,324.1,2.63,Warning,1,Line pressure low warning (2.4-2.8 bar)
36.03,60.77,2.9,0,987.7,1.37,Normal,0,None
49.73,88.8,2.91,0.032,415,4.31,Warning,1,Vibration in warning range (4-7 mm/s)
26.36,88.88,2.88,0.144,1736.4,1.54,Normal,0,None
45.67,64.65,3.08,0.055,1954.5,3.43,Normal,0,None
55.38,72.48,2.61,0.085,671.3,1.38,Warning,1,Line pressure low warning (2.4-2.8 bar)
49.51,88.4,3.18,0.201,1223.2,0.17,Normal,0,None
30.57,58.25,2.74,0.139,108.2,2.08,Warning,1,Line pressure low warning (2.4-2.8 bar)
31.33,79.33,2.88,0.032,438.9,3.78,Normal,0,None
58.47,72.56,2.9,0.194,1455.7,2.5,Normal,0,None
53.91,89.82,2.91,0.345,304.9,2.04,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
54.17,67.09,2.93,0.254,2635.4,2.44,Warning,1,Service interval warning (2000-3000 hrs)
52.4,87.32,2.93,0.115,873.8,0.52,Normal,0,None
39.39,109.32,2.96,0.308,1554.1,0.04,Critical,2,Oil temperature critical (>105°C)
58.53,67.67,2.39,0.164,1073.4,3.51,Warning,1,Line pressure low warning (2.4-2.8 bar)
58.1,102.24,3.43,0.239,2074.7,3.85,Warning,1,Multiple parameters in warning range
32.76,66.7,2.87,0.186,179.7,3.76,Normal,0,None
45.78,65.84,3.1,0.405,291.8,3.7,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
45.04,71.32,2.97,0.163,1945.3,1.55,Normal,0,None
34.47,84.25,3.54,0.012,1634.5,3.45,Warning,1,Line pressure high warning (3.2-3.6 bar)
32.54,105.28,3.24,0.67,2488.7,1,Critical,2,Filter choking (High temperature + High ΔP)
40.6,86.56,3.2,0.166,1075.8,2.28,Warning,1,Line pressure high warning (3.2-3.6 bar)
51.59,80.34,3.09,0.181,397.9,0.23,Normal,0,None
30.37,84.22,3.08,0.208,67.5,0.13,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
37.3,78.08,2.96,0.03,1999.3,1.63,Normal,0,None
28.94,68.05,3.29,0.146,849.4,3.65,Warning,1,Line pressure high warning (3.2-3.6 bar)
66.19,79.12,2.88,0.033,710.7,3.47,Warning,1,Motor current in warning range (60-70A)
27,67.63,3.11,0.403,378.4,1.03,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
55.94,86.2,3.13,0.143,538.7,1.62,Normal,0,None
28.68,64.18,3.05,0.036,1151.1,2.25,Normal,0,None
34.63,70.82,3.54,0.018,773.3,0.29,Warning,1,Line pressure high warning (3.2-3.6 bar)
51.77,66.26,2.95,0.061,1469.9,1.49,Normal,0,None
66.63,97.9,2.72,0.377,1869.9,3.8,Warning,1,Multiple parameters in warning range
60.78,81.25,3.18,0.156,1386.7,0.53,Warning,1,Motor current in warning range (60-70A)
35.85,79.93,2.59,0.019,1263.8,2.23,Warning,1,Line pressure low warning (2.4-2.8 bar)
53.61,71.9,2.55,0.059,19.5,0.33,Warning,1,Line pressure low warning (2.4-2.8 bar)
49.89,81.23,2.99,0.02,1827.3,6.18,Warning,1,Vibration in warning range (4-7 mm/s)
34.33,66.85,2.66,0.081,1688.8,1.77,Warning,1,Line pressure low warning (2.4-2.8 bar)
51.96,96.28,3.26,0.78,2074.4,0.31,Critical,2,Filter choked (ΔP >0.5 bar)
69.7,76.46,2.95,0.082,480.6,3.47,Warning,1,Motor current in warning range (60-70A)
57.84,101.82,3.05,0.268,934.8,0.37,Warning,1,Oil temperature in warning range (90-105°C)
43.9,64.35,2.86,0.162,1832,0.07,Normal,0,None
51.97,100.04,1.82,0.414,1920,4.24,Critical,2,Line pressure critically low (<2.4 bar)
31.94,61.36,3.08,0.181,345.7,2.91,Normal,0,None
63.18,76.29,3.15,0.046,1330,2.08,Warning,1,Motor current in warning range (60-70A)
54.06,87.54,2.91,0.036,1761.5,0.35,Normal,0,None
53.08,87.35,3.07,0.181,543.3,6.73,Warning,1,Vibration in warning range (4-7 mm/s)
25.56,85.79,3.16,0.069,1638.5,2.76,Normal,0,None
38.64,59.35,3.3,0.045,1061.6,0.31,Warning,1,Line pressure high warning (3.2-3.6 bar)
55.69,100.87,2.85,0.217,1855.3,0.86,Warning,1,Oil temperature in warning range (90-105°C)
30.95,61.11,2.84,0.135,517.7,0.73,Normal,0,None
60.2,110.71,2.61,0.443,2242,1.21,Critical,2,Oil temperature critical (>105°C)
28.16,68.55,2.8,0.326,4574.3,4.85,Critical,2,Service critical (>3000 hrs) - Service required
27.87,80.86,3.05,0.103,1954.5,3.59,Normal,0,None
46.25,85.83,3.1,0.158,1898.8,1.95,Normal,0,None
40.89,88.5,2.88,0.148,1375.9,0.97,Normal,0,None
37.4,76.19,3.05,0.174,1737.9,2.27,Normal,0,None
48.03,76.07,2.79,0.165,831,3.25,Normal,0,None
53.59,69.88,2.9,0.132,2546.6,4.25,Warning,1,Service interval warning (2000-3000 hrs)
58.68,60.67,2.99,0.107,700.3,0.02,Normal,0,None
52.25,76.61,2.53,0.194,364.8,4.07,Warning,1,Line pressure low warning (2.4-2.8 bar)
48.21,102.82,3.02,0.304,1807.7,1.12,Warning,1,Oil temperature in warning range (90-105°C)
69.23,85.45,3.14,0.096,1912,2.72,Warning,1,Motor current in warning range (60-70A)
31.96,103.27,3.16,0.684,278,4.45,Critical,2,Filter choking (High temperature + High ΔP)
45.3,78.23,3.31,0.006,595.5,1.62,Warning,1,Line pressure high warning (3.2-3.6 bar)
53.25,103.01,2.85,0.197,453.9,2.43,Warning,1,Oil temperature in warning range (90-105°C)
27.43,66.38,2.96,0.23,2036.5,2.25,Warning,1,Service interval warning (2000-3000 hrs)
49.71,82.84,2.75,0.149,386,2.79,Warning,1,Line pressure low warning (2.4-2.8 bar)
39.2,73.08,3.19,0.177,1556.5,2.66,Warning,1,Line pressure high warning (3.2-3.6 bar)
47.07,78.12,3.09,0.111,87.8,2.77,Normal,0,None
33.67,74.51,2.89,0.353,166.2,2.29,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
38.33,85.52,2.48,0.068,1171.7,2.37,Warning,1,Line pressure low warning (2.4-2.8 bar)
53.15,82.47,3.2,0.056,406.4,0.64,Normal,0,None
59.55,88.82,2.73,0.369,2149.7,4.92,Warning,1,Multiple parameters in warning range
54.16,67.31,3.08,0.022,1345.4,3.17,Normal,0,None
57.59,85.85,2.54,0.013,1057.7,0.12,Warning,1,Line pressure low warning (2.4-2.8 bar)
46.37,59.63,3.01,0.03,824.7,6.5,Warning,1,Vibration in warning range (4-7 mm/s)
55.36,72.21,2.93,0.126,229.6,2.67,Normal,0,None
57.48,67.71,2.88,0.155,484.9,10.17,Critical,2,Vibration critical (>7 mm/s)
67.87,68,3.15,0.085,1780.2,1.03,Warning,1,Motor current in warning range (60-70A)
25.8,100.63,3.39,0.649,669.8,3.33,Critical,2,Filter choking (High temperature + High ΔP)
40.07,68.91,2.91,0.189,1510.9,1.59,Normal,0,None
54.66,91.26,3.29,0.243,2078.8,5.61,Warning,1,Multiple parameters in warning range
50.93,87.09,3.07,0.21,1655.4,1.97,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
42.86,74.17,3.06,0.187,2288.5,3.67,Warning,1,Service interval warning (2000-3000 hrs)
34.36,80.84,2.96,0.115,273.2,0.62,Normal,0,None
55.27,70.79,2.91,0.153,2452.3,3.79,Warning,1,Service interval warning (2000-3000 hrs)
53.68,60.85,2.88,0.104,1940,0.46,Normal,0,None
31.25,109.81,3.48,0.658,970.5,2.3,Critical,2,Filter choking (High temperature + High ΔP)
37.02,105.65,2.52,0.127,2260.2,4.3,Critical,2,Oil temperature critical (>105°C)
35.93,73.4,2.91,0.023,1019.4,0.55,Normal,0,None
61.39,106.82,3.26,0.762,829.3,3.38,Critical,2,Filter choking (High temperature + High ΔP)
41.4,65.05,2.43,0.133,11.4,3.58,Warning,1,Line pressure low warning (2.4-2.8 bar)
47.87,84.11,3.55,0.049,281,2.14,Warning,1,Line pressure high warning (3.2-3.6 bar)
42.32,84.05,3.33,0.012,1564,1.48,Warning,1,Line pressure high warning (3.2-3.6 bar)
30.17,82.02,3.12,0.399,261.4,3.35,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
66.91,94.48,3.1,0.167,1576.8,3.65,Warning,1,Multiple parameters in warning range
52.45,76.93,2.49,0.093,35.8,0.12,Warning,1,Line pressure low warning (2.4-2.8 bar)
49.46,73.01,3.4,0.145,1753.7,2.36,Warning,1,Line pressure high warning (3.2-3.6 bar)
26.78,81.8,2.4,0.086,547,2.84,Warning,1,Line pressure low warning (2.4-2.8 bar)
30.78,61.49,2.74,0.009,96.9,3.41,Warning,1,Line pressure low warning (2.4-2.8 bar)
33.32,81.78,2.95,0.09,1695.9,0.57,Normal,0,None
54.63,64.25,3.14,0.125,576.3,3.84,Normal,0,None
32.14,78.82,3.05,0.071,502.6,2.82,Normal,0,None
55.91,73.06,3.07,0.111,1265.8,0.38,Normal,0,None
46,90.87,3.35,0,904.7,3.16,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.95,96.4,2.71,0.385,2411.4,4.58,Warning,1,Multiple parameters in warning range
31.96,88.91,3.14,0.132,1789.4,0.25,Normal,0,None
58.49,90.13,2.87,0.291,544.7,2.68,Warning,1,Oil temperature in warning range (90-105°C)
40.14,68.36,3.05,0.129,1870.3,1.64,Normal,0,None
50.1,93.21,3.08,0.194,442.9,1.29,Warning,1,Oil temperature in warning range (90-105°C)
36.21,84.64,2.82,0.268,1734.3,0.46,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
41.54,65.95,2.72,0.059,1165.6,3.06,Warning,1,Line pressure low warning (2.4-2.8 bar)
46.82,81.26,2.84,0.043,271.2,2.46,Normal,0,None
74.02,60.05,3.27,0.111,387.4,5.68,Critical,2,Motor current critical (>70A)
29.41,59.79,3.02,0.116,123.5,3.58,Normal,0,None
39.62,71.45,3.04,0.151,488,1.64,Normal,0,None
57.75,69.21,3.21,0.101,417.8,2.96,Normal,0,None
53.73,82.66,3.13,0.138,1544.8,0.51,Normal,0,None
66.79,85.34,3.47,0.348,1739.1,5.2,Warning,1,Multiple parameters in warning range
69.84,80.44,2.6,0.121,196.9,9.08,Critical,2,Bearing/Alignment issue (High current + High vibration)
72.86,83.09,2.64,0.45,2219,9.87,Critical,2,Bearing/Alignment issue (High current + High vibration)
43.56,78.32,2.89,0.081,1303.7,0.11,Normal,0,None
45.35,76.03,3.16,0.275,2270.1,2.16,Warning,1,Service interval warning (2000-3000 hrs)
33.35,67.95,3.25,0.124,563.1,1.89,Warning,1,Line pressure high warning (3.2-3.6 bar)
72.5,103.03,2.2,0.337,1269.9,4.95,Critical,2,Air leak/Airend wear (High current + Low pressure)
69.56,60.6,3.39,0.11,2216,8.72,Critical,2,Bearing/Alignment issue (High current + High vibration)
26.36,69.48,3.59,0.025,1494.7,3.03,Warning,1,Line pressure high warning (3.2-3.6 bar)
54.03,85.74,3.19,0.122,207.3,1.27,Normal,0,None
58.46,73.43,2.89,0.232,2152.7,2.2,Warning,1,Service interval warning (2000-3000 hrs)
58.77,87.37,2.99,0.165,1129.6,2.34,Normal,0,None
46.96,94.92,3.17,0.242,1555.1,1.88,Warning,1,Oil temperature in warning range (90-105°C)
51.81,66.21,3.08,0.054,252.2,2.9,Normal,0,None
30.06,78.44,2.86,0.438,804.8,2.88,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
44.56,70.12,2.96,0.046,990.3,1.99,Normal,0,None
55.25,81.02,3.76,0.085,428.2,0.48,Critical,2,Line pressure critically high (>3.6 bar)
56.82,87.12,3.13,0.194,319.2,1.54,Normal,0,None
52.35,61.22,3.01,0.085,353.5,0.12,Normal,0,None
53.95,62.76,3.2,0.226,363,1.11,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
38.87,62.25,3.06,0.165,299.2,2.14,Normal,0,None
70.18,87.97,3.81,0.439,45.4,0.15,Critical,2,Line pressure critically high (>3.6 bar)
25.75,81.32,3.46,0.149,419.5,0.28,Warning,1,Line pressure high warning (3.2-3.6 bar)
47.03,68.48,2.65,0.148,560.6,1.73,Warning,1,Line pressure low warning (2.4-2.8 bar)
35.19,86.69,2.98,0.169,232.6,2.06,Normal,0,None
29.49,80.23,3.21,0.085,288.6,3.61,Normal,0,None
29.29,85.25,2.87,0.192,1168.2,3.85,Normal,0,None
30.89,73.61,3.38,0.172,1783.5,0.53,Warning,1,Line pressure high warning (3.2-3.6 bar)
32.28,83.95,3.35,0.182,950.4,3.72,Warning,1,Line pressure high warning (3.2-3.6 bar)
62.27,79.46,2.83,0.155,1417.9,3.52,Warning,1,Motor current in warning range (60-70A)
32.82,96.35,2.96,0.209,1220.2,1.28,Warning,1,Oil temperature in warning range (90-105°C)
59.05,81.5,2.86,0.18,1693.7,1.96,Normal,0,None
34.12,65.95,3.18,0.102,1304.5,2.08,Normal,0,None
42.65,89.57,3.12,0.17,9,0.55,Normal,0,None
40.14,97.57,2.57,0.047,1240.3,8.33,Critical,2,Vibration critical (>7 mm/s)
27.25,64.4,2.87,0.291,1933,2.62,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
61.75,82.8,2.93,0.594,4864.5,7.52,Critical,2,Service critical (>3000 hrs) - Service required
30.23,93.49,3.15,0.266,1588.4,1.42,Warning,1,Oil temperature in warning range (90-105°C)
32.28,74.49,2.77,0.121,1924.5,2.86,Warning,1,Line pressure low warning (2.4-2.8 bar)
41.2,81.61,2.95,0.028,1337.5,0.05,Normal,0,None
63.32,89.28,2.94,0.216,1684.3,5.3,Warning,1,Multiple parameters in warning range
57.21,76.28,2.98,0.005,787.2,1.56,Normal,0,None
37.36,85.6,3.08,0.042,1704.2,4.93,Warning,1,Vibration in warning range (4-7 mm/s)
38.4,98.29,2.99,0.283,578.4,3.92,Warning,1,Oil temperature in warning range (90-105°C)
58.81,102,2.6,0.239,1318.3,9.56,Critical,2,Vibration critical (>7 mm/s)
35.76,79.22,3.17,0.319,560.3,3.06,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
51.03,75.71,2.99,0.137,1215.1,1.45,Normal,0,None
34.95,97.77,2.97,0.138,1009.8,2.37,Warning,1,Oil temperature in warning range (90-105°C)
38.81,72.24,3.08,0.078,534.7,2.45,Normal,0,None
55.47,85.12,2.66,0.2,1933.3,5.71,Warning,1,Multiple parameters in warning range
33.9,86.34,2.81,0.094,287.5,3.87,Normal,0,None
46.01,76.53,3.17,0.069,926.6,1.87,Normal,0,None
38.68,77.68,3.14,0.171,923.5,3.55,Normal,0,None
61.89,60.96,2.99,0.102,1225.8,2.16,Warning,1,Motor current in warning range (60-70A)
70.39,105.57,2.62,0.312,632.8,5.1,Critical,2,Oil temperature critical (>105°C)
25.13,73.76,3.18,0.288,1615,1.94,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
56.88,63.76,3.13,0.101,1603.4,3.93,Normal,0,None
67.76,96.62,3.49,0.663,209.6,4.14,Critical,2,Filter choked (ΔP >0.5 bar)
54.32,108.22,2.61,0.156,1783.4,6.97,Critical,2,Oil temperature critical (>105°C)
58.45,87.56,3.34,0.27,1564.1,4.99,Warning,1,Multiple parameters in warning range
66.18,95.92,3.35,0.378,2146.5,3.25,Warning,1,Multiple parameters in warning range
53.55,65.11,2.81,0.128,520.9,1.41,Normal,0,None
34.29,101.72,3.68,0.191,2400.2,4.65,Critical,2,Line pressure critically high (>3.6 bar)
32.39,89.81,3.03,0.189,750.3,1.92,Normal,0,None
38.18,103.67,2.93,0.207,725.8,1.77,Warning,1,Oil temperature in warning range (90-105°C)
62.48,81.43,2.7,0.327,3957.1,6.22,Critical,2,Service critical (>3000 hrs) - Service required
56.09,95.04,3.12,0.22,1972,4.43,Warning,1,Multiple parameters in warning range
46.04,75.97,2.93,0.032,444.1,4.06,Warning,1,Vibration in warning range (4-7 mm/s)
57.22,77.14,3.11,0.183,737.4,6.7,Warning,1,Vibration in warning range (4-7 mm/s)
60.17,97.54,2.85,0.311,48.8,0.58,Warning,1,Oil temperature in warning range (90-105°C)
53.12,69.91,3.36,0.148,1275.2,3.04,Warning,1,Line pressure high warning (3.2-3.6 bar)
48.45,63.44,2.87,0.017,1048.6,4.29,Warning,1,Vibration in warning range (4-7 mm/s)
34.21,62.71,3.12,0.144,1452.2,1.15,Normal,0,None
53.68,85.74,3.01,0.277,597.8,2.31,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
58.96,69.37,3.1,0.158,1337.3,0.45,Normal,0,None
35.3,83.89,2.95,0.328,276.9,2.88,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
26.21,106.85,3.15,0.565,1881.6,4.54,Critical,2,Filter choking (High temperature + High ΔP)
37.04,96.91,3.04,0.197,50.3,2.97,Warning,1,Oil temperature in warning range (90-105°C)
31.6,91.46,3.04,0.246,891.8,1.72,Warning,1,Oil temperature in warning range (90-105°C)
63.4,71.2,3.02,0.117,47.5,2.55,Warning,1,Motor current in warning range (60-70A)
36.49,71.76,3.09,0.058,1144.7,6.86,Warning,1,Vibration in warning range (4-7 mm/s)
56.48,87.36,3.05,0.133,98,2.69,Normal,0,None
35.26,85.81,2.92,0.151,752.9,2.96,Normal,0,None
50.32,80.35,3.17,0.182,1891,2,Normal,0,None
58.43,60.78,2.97,0.108,1851,2.87,Normal,0,None
44.15,68.55,3.2,0.049,771,2.41,Normal,0,None
55.76,67.36,3.01,0.115,299.6,4.73,Warning,1,Vibration in warning range (4-7 mm/s)
42.74,89.01,2.92,0.047,1725.5,0.27,Normal,0,None
28.26,75.87,2.86,0.134,1602.7,2.98,Normal,0,None
59.61,102.01,2.96,0.178,2310.5,5.39,Warning,1,Multiple parameters in warning range
61.36,87.94,2.6,0.267,1668.6,4.87,Warning,1,Multiple parameters in warning range
51.66,76.76,2.93,0.182,2883,4.04,Warning,1,Service interval warning (2000-3000 hrs)
53.28,71.15,2.45,0.005,1639,3.6,Warning,1,Line pressure low warning (2.4-2.8 bar)
59.08,106.72,2.86,0.498,2447.1,0.82,Critical,2,Oil temperature critical (>105°C)
26.66,77.12,3.22,0.145,135.9,3.84,Warning,1,Line pressure high warning (3.2-3.6 bar)
50.89,79.93,2.67,0.046,24.6,1.9,Warning,1,Line pressure low warning (2.4-2.8 bar)
44.63,84.11,2.86,0.155,84.2,6.67,Warning,1,Vibration in warning range (4-7 mm/s)
50.77,70.85,2.9,0.097,1278.3,0.51,Normal,0,None
44.15,90.48,3.36,0.019,881.2,2.57,Warning,1,Line pressure high warning (3.2-3.6 bar)
65.76,98.55,3.48,0.202,2200.5,4.53,Warning,1,Multiple parameters in warning range
58.89,82.63,2.52,0.18,1118.4,2.08,Warning,1,Line pressure low warning (2.4-2.8 bar)
67.25,66.63,3.33,0.286,324.8,8.48,Critical,2,Bearing/Alignment issue (High current + High vibration)
73.64,97.78,1.84,0.477,326.2,6.6,Critical,2,Air leak/Airend wear (High current + Low pressure)
57.37,68.95,3.47,0.153,769.9,0.07,Warning,1,Line pressure high warning (3.2-3.6 bar)
28.19,74.28,2.98,0.301,2270.4,4.34,Warning,1,Service interval warning (2000-3000 hrs)
49.09,63.94,3.07,0.13,103.2,3.93,Warning,1,Vibration in warning range (4-7 mm/s)
51.68,64.77,3.05,0.299,2279.2,3.74,Warning,1,Service interval warning (2000-3000 hrs)
44.44,80.15,2.39,0.03,13.7,0.81,Warning,1,Line pressure low warning (2.4-2.8 bar)
44.62,74.86,2.91,0.025,1928.5,0.57,Normal,0,None
58.19,62.22,2.93,0.245,368.2,0.29,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
41.38,101.84,3.32,0.606,2224.5,3.7,Critical,2,Filter choking (High temperature + High ΔP)
53.74,63.49,2.84,0.11,1528.1,1.71,Normal,0,None
49.77,78.31,2.87,0.198,327.5,5.66,Warning,1,Vibration in warning range (4-7 mm/s)
30.39,63.29,3.07,0.101,2245.5,2.95,Warning,1,Service interval warning (2000-3000 hrs)
50.48,65.84,3.19,0.295,2660.5,2.29,Warning,1,Service interval warning (2000-3000 hrs)
68.62,79.87,2.99,0.051,434,1.09,Warning,1,Motor current in warning range (60-70A)
58.96,76.91,3.29,0.044,719.5,3.49,Warning,1,Line pressure high warning (3.2-3.6 bar)
59.31,101.19,2.68,0.227,1638.5,3.34,Warning,1,Multiple parameters in warning range
59.77,61.2,2.87,0.04,1429.5,3.05,Normal,0,None
38.33,65,3.21,0.137,905,0.14,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.78,69.03,3.54,0.134,1698.9,0,Warning,1,Line pressure high warning (3.2-3.6 bar)
32.38,74.77,2.78,0.112,541.8,3.89,Warning,1,Line pressure low warning (2.4-2.8 bar)
35.77,64.32,3.04,0.198,1972.1,6.3,Warning,1,Vibration in warning range (4-7 mm/s)
66.84,101.22,3.06,0.295,2443.6,5.53,Warning,1,Multiple parameters in warning range
31.71,65.85,2.82,0.092,254.5,0.84,Normal,0,None
43.37,63.26,3.18,0.199,1524.2,3.42,Normal,0,None
44.69,66.42,3.04,0.161,146.8,4.14,Warning,1,Vibration in warning range (4-7 mm/s)
67.01,92.03,3.02,0.083,1076.6,0.76,Warning,1,Motor current in warning range (60-70A)
56.9,87.1,3.41,0.298,1729.2,5.32,Warning,1,Multiple parameters in warning range
42.55,65.86,2.88,0.094,1403.8,5.71,Warning,1,Vibration in warning range (4-7 mm/s)
42.64,92.46,2.98,0.637,4175.4,6.14,Critical,2,Service critical (>3000 hrs) - Service required
58.72,70.28,3.2,0.127,275.7,1.33,Normal,0,None
66.3,76.93,2.83,0.387,1500.1,9.1,Critical,2,Bearing/Alignment issue (High current + High vibration)
49.49,70.88,3.2,0.178,1967.4,2.59,Normal,0,None
64.59,74.13,3.03,0.046,1726.2,2.24,Warning,1,Motor current in warning range (60-70A)
56.27,78.07,3.1,0.02,806.4,0.6,Normal,0,None
49.24,69.43,3.39,0.116,282.6,0,Warning,1,Line pressure high warning (3.2-3.6 bar)
66.41,68.29,3.16,0.169,914,3.36,Warning,1,Motor current in warning range (60-70A)
60.16,88.94,3.79,0.149,1843.8,2.48,Critical,2,Line pressure critically high (>3.6 bar)
47.12,90.22,2.87,0.162,1028.9,0.93,Normal,0,None
31.35,63.6,2.58,0,1937.4,3.25,Warning,1,Line pressure low warning (2.4-2.8 bar)
47.32,66.28,2.83,0.043,1520.2,3.3,Normal,0,None
38.89,91.93,3.6,0.218,863.2,0.77,Critical,2,Line pressure critically high (>3.6 bar)
49.08,72.58,3.07,0.083,1138.5,2.82,Normal,0,None
41.46,69.49,2.63,0.19,827.5,3.17,Warning,1,Line pressure low warning (2.4-2.8 bar)
59.06,94.62,3.15,0.228,2000.9,5.6,Warning,1,Multiple parameters in warning range
26.91,88.44,2.49,0.191,1854.1,1.14,Warning,1,Line pressure low warning (2.4-2.8 bar)
40.67,76.52,2.64,0.062,1381.9,0.42,Warning,1,Line pressure low warning (2.4-2.8 bar)
39.46,83.78,2.81,0.099,392.5,1.72,Normal,0,None
36.54,66.02,3.23,0.139,377,1.13,Warning,1,Line pressure high warning (3.2-3.6 bar)
26.15,62.9,2.87,0.068,340.5,0.82,Normal,0,None
45.76,83.75,2.55,0.185,1087.1,3.28,Warning,1,Line pressure low warning (2.4-2.8 bar)
26.54,74.29,2.64,0.102,303.6,2.65,Warning,1,Line pressure low warning (2.4-2.8 bar)
68.85,80.62,2.8,0.1,2040.7,7.81,Critical,2,Bearing/Alignment issue (High current + High vibration)
73.75,79.38,3.65,0.112,1218.9,4.65,Critical,2,Line pressure critically high (>3.6 bar)
58.26,74.98,3.14,0.181,1051.7,1.33,Normal,0,None
39.19,63.42,2.94,0.126,1506.6,2.43,Normal,0,None
26.91,78.52,3.13,0.16,2868.6,4.26,Warning,1,Service interval warning (2000-3000 hrs)
56.51,95.79,2.94,0.249,1889.7,5.74,Warning,1,Multiple parameters in warning range
73.54,63.16,2.79,0.136,685.9,6.31,Critical,2,Motor current critical (>70A)
31.66,89.02,2.9,0.143,2871.9,2.27,Warning,1,Service interval warning (2000-3000 hrs)
55.28,67.68,2.84,0.147,182.4,1.74,Normal,0,None
30.19,63.32,3.13,0.287,2613.9,3.57,Warning,1,Service interval warning (2000-3000 hrs)
46.92,91.37,3.73,0.472,498.3,4.14,Critical,2,Line pressure critically high (>3.6 bar)
45.53,80.61,3.18,0.139,1154.4,0.43,Normal,0,None
54.28,71.05,3.12,0.111,1168.2,4.9,Warning,1,Vibration in warning range (4-7 mm/s)
37.77,104.49,3.23,0.345,2429.1,4.41,Critical,2,Oil temperature critical (>105°C)
58.96,103.79,3.06,0.291,1818.5,3.88,Warning,1,Oil temperature in warning range (90-105°C)
52.99,73.9,3.51,0.092,395.9,0.49,Warning,1,Line pressure high warning (3.2-3.6 bar)
27.37,75.2,3.1,0.061,15,3.73,Normal,0,None
55.14,60.41,3.09,0.088,195.3,3.62,Normal,0,None
63.89,93.61,2.86,0.327,1590,4.84,Warning,1,Multiple parameters in warning range
35.7,79.06,3.18,0.166,293.3,3.55,Normal,0,None
27.78,88.67,3.09,0.402,733,1.28,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
50.12,87.55,2.97,0.028,1565.8,0.94,Normal,0,None
52.28,64.49,2.85,0.125,1619,0.66,Normal,0,None
38.56,102.51,3.12,0.259,504,2.62,Warning,1,Oil temperature in warning range (90-105°C)
27.16,80.27,2.95,0.004,1894.3,5.29,Warning,1,Vibration in warning range (4-7 mm/s)
25.41,69.65,2.67,0.062,863.6,0.4,Warning,1,Line pressure low warning (2.4-2.8 bar)
43.04,66.17,2.85,0.129,2092.6,3.25,Warning,1,Service interval warning (2000-3000 hrs)
44.67,85.66,3.08,0.464,1058.9,2.29,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
61.97,95.68,3.21,0.146,2477.3,5.48,Warning,1,Multiple parameters in warning range
68.7,65.61,2.33,0.184,1442.1,5.87,Critical,2,Air leak/Airend wear (High current + Low pressure)
58.19,88.23,3.5,0.243,2217.2,3.84,Warning,1,Multiple parameters in warning range
67.31,84.02,2.86,0.125,34.2,2.85,Warning,1,Motor current in warning range (60-70A)
61.32,83.49,3.13,0.172,1544.1,2.1,Warning,1,Motor current in warning range (60-70A)
56.96,66.84,2.97,0.11,680,1.47,Normal,0,None
39.81,84.46,2.87,0.05,208.8,2.52,Normal,0,None
31.84,61.46,2.82,0.079,1382.4,3.48,Normal,0,None
51.05,74.42,3.45,0.098,325.6,2.31,Warning,1,Line pressure high warning (3.2-3.6 bar)
31.89,110.91,3.1,0.35,2568,2.5,Critical,2,Oil temperature critical (>105°C)
69.39,98.1,2.52,0.364,2473.3,4.39,Warning,1,Multiple parameters in warning range
57.03,63.81,3.01,0.156,2580.7,4.46,Warning,1,Service interval warning (2000-3000 hrs)
51.45,99.69,2.18,0.093,2581.9,5.3,Critical,2,Line pressure critically low (<2.4 bar)
58.37,105.07,3.07,0.24,1555.6,3.98,Warning,1,Oil temperature in warning range (90-105°C)
37.12,71.39,3.02,0.179,216.8,1.85,Normal,0,None
